video_id,comment_id,parent_id,author,like_count,published_at,updated_at,text
wtP08etZmT8,Ugzg1WMck2wiulTxHA54AaABAg,,@DecoyVoice,63958,2025-09-21T20:21:24Z,2025-09-21T20:21:24Z,"you're a good son. RIP asmonpa

let all of us aspire to ngaf like him"
wtP08etZmT8,Ugzg1WMck2wiulTxHA54AaABAg.ANLf86KNKaWANLfGjLVOL1,Ugzg1WMck2wiulTxHA54AaABAg,@TheFlameOfWater,328,2025-09-21T20:22:35Z,2025-09-21T20:22:35Z,Decoy!!!
wtP08etZmT8,Ugzg1WMck2wiulTxHA54AaABAg.ANLf86KNKaWANLfg5WHpul,Ugzg1WMck2wiulTxHA54AaABAg,@reganpt1,72,2025-09-21T20:26:11Z,2025-09-21T20:26:11Z,You could literally see how utterly disappointed his dad was with Asmon any time he was in a video. For obvious reasons.
wtP08etZmT8,Ugzg1WMck2wiulTxHA54AaABAg.ANLf86KNKaWANLfgxtE0mo,Ugzg1WMck2wiulTxHA54AaABAg,@TheBasedFurry,1,2025-09-21T20:26:18Z,2025-09-21T20:26:18Z,Here before the wave of crazies who are glad his dad died.
wtP08etZmT8,Ugzg1WMck2wiulTxHA54AaABAg.ANLf86KNKaWANLfuzSaLoN,Ugzg1WMck2wiulTxHA54AaABAg,@Lero_Po,1175,2025-09-21T20:28:13Z,2025-09-21T20:28:13Z,@@reganpt1 4/10 bait
wtP08etZmT8,Ugzg1WMck2wiulTxHA54AaABAg.ANLf86KNKaWANLfwU6eo_a,Ugzg1WMck2wiulTxHA54AaABAg,@sdzxpa,87,2025-09-21T20:28:25Z,2025-09-21T20:28:25Z,love this dude ❤
wtP08etZmT8,Ugzg1WMck2wiulTxHA54AaABAg.ANLf86KNKaWANLfGjLVOL1,Ugzg1WMck2wiulTxHA54AaABAg,@TheFlameOfWater,328,2025-09-21T20:22:35Z,2025-09-21T20:22:35Z,Decoy!!!
wtP08etZmT8,Ugzg1WMck2wiulTxHA54AaABAg.ANLf86KNKaWANLfg5WHpul,Ugzg1WMck2wiulTxHA54AaABAg,@reganpt1,72,2025-09-21T20:26:11Z,2025-09-21T20:26:11Z,You could literally see how utterly disappointed his dad was with Asmon any time he was in a video. For obvious reasons.
wtP08etZmT8,Ugzg1WMck2wiulTxHA54AaABAg.ANLf86KNKaWANLfgxtE0mo,Ugzg1WMck2wiulTxHA54AaABAg,@TheBasedFurry,1,2025-09-21T20:26:18Z,2025-09-21T20:26:18Z,Here before the wave of crazies who are glad his dad died.
wtP08etZmT8,Ugzg1WMck2wiulTxHA54AaABAg.ANLf86KNKaWANLfuzSaLoN,Ugzg1WMck2wiulTxHA54AaABAg,@Lero_Po,1175,2025-09-21T20:28:13Z,2025-09-21T20:28:13Z,@@reganpt1 4/10 bait
